#
#	RESULT OF A 1000 EVOLUTION
# format is: species_id|species_name|population|absolute_time|relative_time|number of steps
#
#species infos: 
#1|carrot|vegetable|0|50|100|99|2-0|3-0|
#2|rabbit|animal|2|10|200|10|1-100|3-0|
#3|wolf|animal|2|10|200|20|1-0|2-100|

SPECIES_ID: 1
1|carrot|21|0|0|0|

SPECIES_ID: 2
2|rabbit|180|0|0|0|
2|rabbit|181|4|0|2|
2|rabbit|180|12|0|7|
2|rabbit|181|12|0|7|
2|rabbit|180|17|0|10|
2|rabbit|181|17|0|10|
2|rabbit|180|19|0|12|
2|rabbit|181|19|0|12|
2|rabbit|180|20|0|13|
2|rabbit|181|20|0|13|
2|rabbit|182|22|0|14|
2|rabbit|181|25|0|16|
2|rabbit|182|25|0|16|
2|rabbit|181|26|0|17|
2|rabbit|182|26|0|17|
2|rabbit|181|32|0|21|
2|rabbit|182|32|0|21|
2|rabbit|183|35|0|23|
2|rabbit|182|39|0|26|
2|rabbit|183|39|0|26|
2|rabbit|184|44|0|30|
2|rabbit|183|55|0|40|
2|rabbit|184|55|0|40|
2|rabbit|183|58|0|42|
2|rabbit|184|58|0|42|
2|rabbit|183|61|0|44|
2|rabbit|184|61|0|44|
2|rabbit|185|64|0|46|
2|rabbit|184|68|0|49|
2|rabbit|185|68|0|49|
2|rabbit|186|70|0|50|
2|rabbit|185|72|0|52|
2|rabbit|186|79|0|56|
2|rabbit|187|81|0|57|
2|rabbit|186|84|0|59|
2|rabbit|187|84|0|59|
2|rabbit|188|88|0|62|
2|rabbit|189|90|0|63|
2|rabbit|190|94|0|65|
2|rabbit|191|97|0|67|
2|rabbit|192|107|0|74|
2|rabbit|193|112|0|77|
2|rabbit|192|115|0|79|
2|rabbit|193|115|0|79|
2|rabbit|192|116|0|80|
2|rabbit|193|116|0|80|
2|rabbit|192|118|0|82|
2|rabbit|193|118|0|82|
2|rabbit|192|120|0|84|
2|rabbit|193|120|0|84|
2|rabbit|194|123|0|86|
2|rabbit|195|125|0|87|
2|rabbit|196|127|0|88|
2|rabbit|195|129|0|89|
2|rabbit|194|131|0|91|
2|rabbit|195|133|0|92|
2|rabbit|196|138|0|96|
2|rabbit|197|141|0|98|
2|rabbit|196|149|0|104|
2|rabbit|197|149|0|104|
2|rabbit|198|151|0|105|
2|rabbit|197|159|0|110|
2|rabbit|198|159|0|110|
2|rabbit|199|162|0|112|
2|rabbit|200|164|0|113|
2|rabbit|199|165|0|114|
2|rabbit|200|165|0|114|
2|rabbit|199|169|0|117|
2|rabbit|200|169|0|117|
2|rabbit|201|176|0|121|
2|rabbit|202|178|0|122|
2|rabbit|203|180|0|123|
2|rabbit|202|181|0|124|
2|rabbit|203|181|0|124|
2|rabbit|204|190|0|129|
2|rabbit|205|194|0|131|
2|rabbit|204|199|0|135|
2|rabbit|205|199|0|135|
2|rabbit|204|200|0|136|
2|rabbit|205|200|0|136|
2|rabbit|204|201|0|137|
2|rabbit|205|201|0|137|
2|rabbit|204|207|0|141|
2|rabbit|205|207|0|141|
2|rabbit|206|216|0|146|
2|rabbit|207|218|0|147|
2|rabbit|206|222|0|150|
2|rabbit|207|222|0|150|
2|rabbit|208|224|0|151|
2|rabbit|207|225|0|152|
2|rabbit|208|225|0|152|
